AMT_INCOME_TOTAL,AMT_CREDIT,AMT_GOODS_PRICE,AMT_ANNUITY
270000.0,298512.0,270000.0,20079.0
112500.0,323194.5,279000.0,16632.0
171000.0,180000.0,180000.0,9000.0
157500.0,229500.0,229500.0,17158.5
225000.0,278613.0,252000.0,16123.5
103500.0,254700.0,225000.0,30357.0
157500.0,180000.0,180000.0,9000.0
112500.0,180000.0,180000.0,9000.0
126000.0,225000.0,225000.0,12564.0
113238.0,135000.0,135000.0,5494.5
157500.0,90000.0,90000.0,9220.5
135000.0,187704.0,148500.0,10611.0
135000.0,270000.0,270000.0,13500.0
180000.0,317979.0,274500.0,22743.0
48150.0,135000.0,135000.0,9148.5
112500.0,360000.0,360000.0,24057.0
144000.0,286704.0,247500.0,23116.5
135000.0,157050.0,112500.0,7047.0
112500.0,292500.0,292500.0,15061.5
135000.0,180000.0,180000.0,9000.0
112500.0,239850.0,225000.0,25960.5
180000.0,180000.0,180000.0,9000.0
112500.0,112500.0,112500.0,7326.0
112500.0,225000.0,225000.0,11250.0
103500.0,112068.0,99000.0,8982.0
180000.0,305221.5,252000.0,24246.0
112500.0,143910.0,135000.0,15111.0
135000.0,274500.0,274500.0,28966.5
112500.0,263686.5,238500.0,19237.5
135000.0,376920.0,270000.0,19372.5
184500.0,353241.0,319500.0,33367.5
90000.0,284400.0,225000.0,18643.5
112500.0,315000.0,315000.0,25015.5
189000.0,257391.0,238500.0,29241.0
135000.0,225000.0,225000.0,8482.5
112500.0,225000.0,225000.0,15115.5
67500.0,225000.0,225000.0,23053.5
157500.0,360000.0,360000.0,19530.0
90000.0,225000.0,225000.0,22050.0
135000.0,306000.0,306000.0,8545.5
157500.0,327024.0,270000.0,21028.5
180000.0,360000.0,360000.0,28570.5
225000.0,296280.0,225000.0,21690.0
135000.0,180000.0,180000.0,9000.0
247500.0,284400.0,225000.0,16326.0
81000.0,152820.0,135000.0,15111.0
360000.0,270000.0,270000.0,13500.0
202500.0,316125.0,261000.0,18823.5
270000.0,225000.0,225000.0,11250.0
157500.0,156384.0,135000.0,18558.0
292500.0,250272.0,198000.0,9117.0
135000.0,177768.0,135000.0,14175.0
225000.0,183784.5,148500.0,14350.5
99000.0,332842.5,234000.0,15646.5
202500.0,225000.0,225000.0,14377.5
180000.0,263686.5,238500.0,17752.5
112500.0,270000.0,270000.0,13500.0
315000.0,152820.0,135000.0,15241.5
103500.0,54000.0,54000.0,5337.0
135000.0,339241.5,238500.0,12919.5
112500.0,343800.0,225000.0,16155.0
387000.0,387000.0,387000.0,12370.5
198000.0,200493.0,162000.0,15646.5
135000.0,180000.0,180000.0,9000.0
112500.0,247500.0,247500.0,12375.0
337500.0,135000.0,135000.0,6750.0
67500.0,148365.0,135000.0,10678.5
180000.0,319500.0,319500.0,20416.5
225000.0,156384.0,135000.0,16551.0
121500.0,284400.0,225000.0,16456.5
135000.0,284400.0,225000.0,22599.0
40500.0,66384.0,45000.0,3519.0
63000.0,125136.0,99000.0,8275.5
157500.0,225000.0,225000.0,20767.5
90000.0,71955.0,67500.0,7245.0
90000.0,101880.0,90000.0,10827.0
81000.0,247500.0,247500.0,12375.0
166500.0,225000.0,225000.0,11250.0
90000.0,284400.0,225000.0,16456.5
90000.0,292500.0,292500.0,21415.5
67500.0,225000.0,225000.0,16596.0
157500.0,254700.0,225000.0,24939.0
157500.0,225000.0,225000.0,17775.0
225000.0,112500.0,112500.0,4369.5
90000.0,225000.0,225000.0,12204.0
112500.0,247500.0,247500.0,7501.5
117000.0,314100.0,225000.0,12091.5
67500.0,180000.0,180000.0,9000.0
202500.0,225000.0,225000.0,10620.0
99000.0,172021.5,148500.0,19584.0
157500.0,81549.0,76500.0,9328.5
180000.0,360000.0,360000.0,18000.0
135000.0,277969.5,229500.0,18225.0
180000.0,172021.5,148500.0,19584.0
193500.0,384048.0,270000.0,18031.5
121500.0,273636.0,247500.0,15835.5
90000.0,174132.0,157500.0,20664.0
135000.0,270000.0,270000.0,13500.0
180000.0,297000.0,297000.0,15678.0
67500.0,147726.0,130500.0,17662.5
135000.0,126000.0,126000.0,14247.0
67500.0,49752.0,45000.0,5220.0
225000.0,358443.0,252000.0,17563.5
135000.0,276277.5,238500.0,16915.5
157500.0,206059.5,166500.0,16650.0
90000.0,314100.0,225000.0,18981.0
76500.0,252531.0,234000.0,16825.5
202500.0,337500.0,337500.0,16875.0
121500.0,219042.0,193500.0,12573.0
90000.0,284256.0,270000.0,26707.5
225000.0,178213.5,144000.0,12802.5
202500.0,180000.0,180000.0,9000.0
85500.0,257391.0,238500.0,23737.5
157500.0,219069.0,148500.0,11313.0
112500.0,67500.0,67500.0,7398.0
67500.0,284400.0,225000.0,13387.5
157500.0,397881.0,328500.0,26716.5
76500.0,284400.0,225000.0,19134.0
81000.0,202500.0,202500.0,10125.0
202500.0,327024.0,270000.0,21028.5
90000.0,239850.0,225000.0,25317.0
112500.0,381262.5,289539.0,14373.0
90000.0,247500.0,247500.0,29502.0
202500.0,327024.0,270000.0,19251.0
202500.0,382500.0,382500.0,20749.5
135000.0,254700.0,225000.0,17149.5
135000.0,270000.0,270000.0,13500.0
180000.0,194076.0,162000.0,15691.5
157500.0,288873.0,238500.0,18589.5
360000.0,299772.0,247500.0,19647.0
90000.0,215865.0,202500.0,21478.5
180000.0,99000.0,99000.0,10273.5
202500.0,122256.0,108000.0,12222.0
135000.0,242595.0,202500.0,10813.5
112500.0,270000.0,270000.0,32040.0
135000.0,81549.0,76500.0,9805.5
135000.0,180000.0,180000.0,9000.0
90000.0,343800.0,225000.0,13090.5
157500.0,269550.0,225000.0,13891.5
90000.0,180000.0,180000.0,9000.0
112500.0,314100.0,225000.0,15241.5
193500.0,152820.0,135000.0,18135.0
58500.0,225000.0,225000.0,14521.5
